Candidate_ID,Candidate_Name,Party_Name
238,SRIKRISHNA AKKISETTI,Independent
239,GAYATRI AUDHIPUDI,Independent
240,AMBATI CHALAMAIAH,Pyramid Party of India
241,GARLAPATI SUBHASH PREM,Revolutionary Socialist Party
242,GARNEPUDI ALEXANDER SUDHAKAR,Indian National Congress
243,PASUPULETI PICHAIAH,National Nava Kranthi Party
244,ORSU PREMARAJU,Bahujan Samaj Party
245,SUBBARAO CHALLA,Independent
246,DOCTOR GODA RAMESH KUMAR,Jatiya Jana Sena Party
247,KUCHIPUDI JOHN BABU,Jaibhim Rao Bharat Party
248,P VENKATESH,Jaathia Chethi Vruthula Ikya Vedika Party
249,KOTA POTHURAJU,Pyramid Party of India
250,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam
251,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party
252,ABDUL RAJAK SHAIK,Independent
253,THOKALA NAGA RAJU,All India Forward Bloc
254,YAMPATI VEERANJANEYA REDDY,Independent
255,PAPPULA SAMBASIVA RAO,Navarang Congress Party
256,KONDRU KIRAN KUMAR,Independent
257,GADDE. VIJAYA LAKSHMI,Independent
258,PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party
259,CHINNAM MURALIDHAR,All Peoples Party
260,BUSSA. NAGARAJU,Independent
261,KRISHNA PRASAD TENNETI,Telugu Desam
262,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party
263,J.D. SEELAM,Indian National Congress
264,KATTA HEMANAND,Independent
265,MERUGUPALA SADASIVA RAO,India Praja Bandhu Party
266,KATTA ANAND BABU,Independent
267,PARRE. KOTAIAH,Jaibhim Rao Bharat Party
268,NALAMALA TIRUPATI RAO,Navataram Party
269,DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party
270,KATTAPOGU. VIJAY KUMAR,Pyramid Party of India
271,PODILI RAMBABU,Independent
272,HARI PRASAD TUPAKULA,Independent
273,U MADHU BABU,Independent
274,KOTA VAMSI KRISHNA,Independent
275,YARRA DASARADHARAMAIAH,Independent
276,SESHUBABU GUDDANTI,Independent
277,KARATAPU RAJU,Independent
278,SINGAMNENI SREEKANTH,Independent
279,VESHAPOGU GURAVABABU,Independent
280,MOHAN GOUD J V,Independent
281,JAGADEESH RAYAPATI,Independent
282,ORSU VEENA,Jai Bharat National Party
283,MAGUNTA SREENIVASULU REDDY,Telugu Desam
284,DEVIREDDY BALANJANEYULU,Independent
285,EDA SUDHAKARA REDDY,Indian National Congress
286,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party
287,PASAM VENKATESWARLU YADAV,Samajwadi Party
288,K PAVAN KALYAN,Jatiya Jana Sena Party
289,KOMMU YOHANU,Liberation Congress Party
290,SURYA TEJA KOTA,Pyramid Party of India
291,DHARANIKOTA LAKSHMI NARAYANA,Bahujan Samaj Party
292,BONTHA RANGA REDDY,Independent
293,BODDU KRANTHI KUMAR,Independent
294,AKUMALLA MALLIKARJUNA REDDY,Independent
295,BUCHI EDUKONDALU,Independent
296,CHANDINI REDDY VAKATI,Liberation Congress Party
297,YELAMPALLE GOVARDHAN REDDY,All India Forward Bloc
298,C SURENDRA NATHA REDDY,Independent
299,GOGULA SUGUNAMMA,Jai Maha Bharath Party
300,U P MUNI REDDY,Independent
301,BHUMA VEERA BHADRA REDDY,Navarang Congress Party
302,HAFIZ ATAULLAH KHAN,Social Democratic Party Of India
303,BUSHAKU MAHESWARA REDDY,Independent
304,PANDU RANGA YADAV SIDDAPU,Samajwadi Party
305,J LAKSHMI NARASIMHA YADAV,Indian National Congress
306,UPPU SUBBARAYUDU,Jaathia Chethi Vruthula Ikya Vedika Party
307,KOMMUSANI PEDDA KAMBAGIRI SWAMY,Independent
308,NAGESWARA RAO,Independent
309,DR BYREDDY SHABARI,Telugu Desam
310,GAJULA SHALIMIYA,Anna YSR Congress Party
311,P GURUVAIAH,Independent
312,GAGGERA VENKATA RAMANAIAH,Independent
313,E ANIL KUMAR,Independent
314,BRAHMANANDA REDDY K,Independent
315,KUNUKUNTLA RAMUDU,Independent
316,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party
317,I V PAKKIR REDDY,Independent
318,B C RAMANADHA AREDDY,Independent
319,BELLAMKONDA SREENIVASULU,Independent
320,V MADHUSUDHANA REDDY,Independent
321,A CHINNA MOULALI,Bahujan Samaj Party
322,DUMAVATH SWAMY NAIK,Independent
323,KULURU RAMA KRISHNA REDDY,Neethi Nijayithi Party
324,VIJAYA BHASKAR REDDYPOGU,Independent
325,BALIJA SHIVA KUMAR,Independent
326,CH P MALLESWARUDU,Independent
327,SUNKARA SREEDHAR,Jai Bharat National Party
328,JAHANGIR AHMED,Social Democratic Party Of India
329,PAGADALA KODANDA,Independent
330,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam
331,BOYA SURESH,Independent
332,DEVARAPOGU MADDILETY,Independent
333,P.G.RAMPULLAIAH YADAV LUCKY-2,Indian National Congress
334,PRAKASH REDDY RALAMPADU,Independent
335,DR. REDDYPOGU PRAVEEN KUMAR,Independent
336,MANCHALA LAKSHMI NARAYANA,Bahujan Samaj Party
337,ABDUL SATTAR  A.S.R,Anna YSR Congress Party
338,VALMIKI ARJUNA,Bharatha Chaitanya Yuvajana Party
339,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party
340,AMRUTH KUMAR SALKAPURAM,Liberation Congress Party
341,TARIGOPULA RAJABABU,All Peoples Party
342,URUKUNDU VADDE,Independent
343,VIJAYA BHASKAR .REDDYPOGU,Independent
344,MALLEPOGU NAGANNA,Socialist Unity Centre Of India (COMMUNIST)
345,T. BEECHUPALLI,Independent
346,M.SURENDRA,Pyramid Party of India
347,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party
348,BANASI NARAYANAPPA,Bahujan Samaj Party
349,RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party
350,DURGA PRASAD D BYATARAYANAJI,Challengers Party
351,VADLA KESAVAIAH,Independent
352,V.MURALI PRASAD REDDY,Independent
353,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam
354,U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party
355,MALLIKARJUNA VAJJALA,Indian National Congress
356,KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party
357,B.RAGHAVENDRA PRASAD,Independent
358,KETHIREDDY RAGHUNATHAREDDY,Independent
359,DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi
360,LOKANATH GOWD SURAGOWINI,Independent
361,SHAIK.NIZAM,Samajwadi Party
362,G.V.RAMANA REDDY,Independent
363,SRINIVASA RAJU.O,Bhartiya Panchyat Party
364,P.CHOWDESWARI,Independent
365,B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST)
366,SREERANGARAJULA GOPINATH ROYAL,Independent
367,PRATHAP REDDY GORLA,Independent
368,H D HANUMANTHE GOWD,Independent
369,S N SURESH,Independent
370,B K PARTHASARATHI,Telugu Desam
371,T SUDHAKAR REDDY,Independent
372,BUDILI DHANUNJAYA,National Nava Kranthi Party
373,B A SAMAD SHAHEEN,Indian National Congress
374,BHAGYA R S,Bahujan Samaj Party
